id	category	name
uuid:23d32ce1-b900-550f-9782-e92954957b5b	biolink:Gene	MALAT1
uuid:d6ec7f27-8a8e-5491-96f7-4951dbadac01	biolink:Gene	DPP10
uuid:a91b74dd-7c12-5802-b64f-17e14e477282	biolink:Gene	MACF1
uuid:f9c85d3b-09dc-5173-be84-9d8dc47cc22e	biolink:Gene	LSAMP
uuid:389fbfaa-5979-5793-ab70-a14827f1e104	biolink:Gene	CTNNA2
uuid:b088b4f2-124e-5dd9-9158-e00bda4a66b5	biolink:Gene	GPM6A
uuid:2baf7e16-fc41-520f-b8f3-0d52b34d4a6d	biolink:Gene	PCDH9
uuid:7312e0ed-45e7-5141-b271-ae60188260a5	biolink:Gene	DST
uuid:a065487d-531c-527c-9f91-0a382d30b1b4	biolink:Gene	PITPNC1
uuid:db3645f6-6f41-5822-a892-c9a5e2ff46ae	biolink:Gene	NPAS3
uuid:665e2374-13e6-5595-8857-891f59f0c6a7	biolink:Gene	NRG3
uuid:d04459ae-88ad-592f-ad4e-8a5d7940ba09	biolink:Gene	SLC1A2
uuid:28d5c9a3-7510-550d-a766-42825d38fc40	biolink:Gene	MMD2
uuid:90ce04a7-b291-5edc-8bc7-3eac6415ef70	biolink:Gene	ADGRV1
uuid:426c0f03-0e90-5653-8381-871200a89f3b	biolink:Gene	LUC7L3
uuid:fdf79ee4-08f7-5943-a408-bc99932ed6c4	biolink:Gene	GPC5
uuid:77a287f3-5f25-5bb2-8586-72a7d0699e5b	biolink:Gene	NRXN1
uuid:a41ba83c-dec0-5349-8467-9984cb3af600	biolink:Gene	NTM
uuid:59d1d3d6-0961-55c6-827c-45569de28268	biolink:Gene	CTNND2
uuid:096a8b60-2680-531d-a1df-c67f103d98cf	biolink:Gene	MT-ND4
uuid:2c2247ef-91d9-5a9d-9602-35166601e085	biolink:Gene	PPP2R2B
uuid:0ee9e459-9b70-570d-b32d-a737012f214a	biolink:Gene	LRP1B
uuid:4616c3a5-9ffb-57b0-a15d-da51686fda98	biolink:Gene	SORBS1
uuid:037c0071-5367-5c0f-a2df-4c5e361e45e5	biolink:Gene	DTNA
uuid:d58d3031-4d64-5fd1-b535-7e39707bb3df	biolink:Gene	SYNE1
uuid:f673ba50-6761-59b8-b63b-1db4324fdbd5	biolink:Gene	HSP90AA1
uuid:891418d4-5fce-5468-a055-26087c118175	biolink:Gene	TPD52L1
uuid:85111116-d404-552f-868d-c0abc3114463	biolink:Gene	MSI2
uuid:23f5d5f9-1eef-5890-a055-ea98707c6c0c	biolink:Gene	RORA
uuid:32ec1b0e-967b-5c35-97ee-27b2a9f0d7b0	biolink:Gene	OBI1-AS1
uuid:cc66a1e2-de10-54a1-a660-79c42b15748a	biolink:Gene	TENM2
uuid:44067645-a255-5398-90b9-61023db63715	biolink:Gene	PNISR
uuid:0b897edd-e5b0-5ccd-ae32-07665838864b	biolink:Gene	ADGRB3
uuid:9a811f7f-f656-5e8c-bee0-b8c1db69de47	biolink:Gene	NEAT1
uuid:f98514a2-26ab-5811-b4a6-66d42c7540f2	biolink:Gene	RBM25
uuid:d11859e4-eb19-5588-a896-b7a21f199a15	biolink:Gene	MT-CO3
uuid:d5eada63-c446-5bf4-b81d-057c9b819e9a	biolink:Gene	ARGLU1
